review,sentiment
"I love this product! It's amazing.",positive
"Terrible experience, will not buy again.",negative
"Average quality, nothing special.",neutral
"Excellent service and great quality!",positive
"Not worth the price.",negative
"Very satisfied with the purchase.",positive
"The product broke after a week.",negative
"Good value for money.",positive
"Customer service was very helpful.",positive
"Would not recommend to anyone.",negative
"Decent product for the price.",neutral
"Exceeded my expectations!",positive
"Completely disappointed.",negative
"Will buy again.",positive
"Not as described.",negative
"Fast shipping and great packaging.",positive
"Poor quality, do not buy.",negative
"Happy with the purchase.",positive
"Terrible customer service.",negative
"Product is okay, not great.",neutral
"Really impressed, will buy more in the future.",positive
"Just okay. It works, but it’s not impressive.",neutral
"Oh great, another product that doesn't work.",negative
"Wow, this is the best thing ever... said no one ever.",negative
"Fantastic! If you enjoy wasting money.",negative
"Sure, if you like things that break easily.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your time.",negative
"Sure, if you enjoy being let down.",negative
"Absolutely love it! Can't wait to get rid of it.",negative
"Best purchase ever! (Not)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to people I don't like.",negative
"Perfect! If you want to be let down.",negative
"Great, another piece of junk.",negative
"Just what I needed, another problem.",negative
"Awesome! If you enjoy disappointment.",negative
"Love it! Said no one ever.",negative
"Fantastic! If you like wasting your money.",negative
"Sure, if you enjoy being frustrated.",negative
"Absolutely love it! Can't wait to throw it away.",negative
"Best purchase ever! (Not really)",negative
"Works like a charm... if the charm is broken.",negative
"Highly recommend... to my enemies.",negative
"Perfect! If you want to be disappointed.",negative
"Great, another useless product.",negative
"Just what I needed, another headache.",negative
"Awesome! If you enjoy frustration.",negative
"Love it! Said no one ever.",negative
